Rankings,Country or regions,# of phone numbers,Population,Connections/100 citizens,Date of evaluation,Number of phones (million)
World,total phones,7950000000,7621018958,104.32,2019/12,7950.00
1,China,1610360000,1420050000,113.38,2020/10,1610.36
2,India,1515971713,1375245994,110.18,2020/10,1515.97
3,Indonesia,385573398,237556363,162.28,2016/07,385.57
4,United States,380577528,327874628,116.27,2020/10,380.58
5,Brazil,284200000,201032714,141.3,2015/05,284.20
6,Russia,256116000,142905200,155.5,2013/07,256.12
7,Pakistan,194580369,219922083,88.34,2022/06,194.58
8,Nigeria,190475494,190551754,99.5,2020/04,190.48
9,Bangladesh,180780000,162951560,111.11,2022/03,180.78
10,Japan,146649600,127300000,115.2,2013,146.65
11,Germany,107000000,81882342,130.1,2013,107.00
12,Philippines,106987098,94013200,113.8,2013/10,106.99
13,Mexico,101339000,112322757,90.2,2013/07,101.34
14,Iran,96165000,86330703,130,2013/02,96.17
15,Egypt,95340000,99958000,95.38,2019/12,95.34
16,Italy,88580000,60790400,147.4,2013/12,88.58
17,United Kingdom,83100000,64100000,129.6,2013,83.10
18,Vietnam,72300000,90549390,79,2013/10,72.30
19,Turkey,72200000,79463663,92.5,2015,72.20
20,France,72180000,63573842,114.2,2013/12,72.18
21,Thailand,69000000,67480000,105,2015,69.00
22,South Africa,59474500,50586757,117.6,2013,59.47
23,Colombia,57900472,49375617,118.9,2017,57.90
24,Ukraine,57505555,45579904,126,2013/12,57.51
25,Argentina,56725200,40134425,141.34,2013,56.73
26,Tanzania,56313438,48715877,86.5,2020/03,56.31
27,South Korea,56004887,50219669,111.5,2014,56.00
28,Spain,55740000,47265321,118,2013/12,55.74
29,Poland,47153200,38186860,123.48,2013,47.15
30,Saudi Arabia,46000000,27137000,169.5,2013/12,46.00
31,Morocco,44450000,33818662,131,2015,44.45
32,Sri Lanka,38849812,21671000,179.3,2018/12,38.85
33,Peru,34235000,31179417,109.8,2015,34.24
34,Nepal,34172058,26620020,134.41,"2018: NTA_MIS_128,2018",34.17
35,Algeria,33000000,35000000,94.2,2013,33.00
36,Venezuela,32019086,30163157,106.15,2014,32.02
37,Canada,31210628,36885049,84.6,2018,31.21
38,Taiwan,28610000,23197947,123.33,2013/12,28.61
39,Malaysia,30379000,28250000,143.8,2014/04,30.38
40,Kenya,28080000,42000000,71.3,2013,28.08
41,Romania,26000000,21438000,123.45,2010/12/16,26.00
42,Chile,21000000,17094270,122.9,2013/12,21.00
43,Australia,20570000,23490700,87.6,2014/11,20.57
44,Netherlands,20000000,16515057,121.1,2013/11,20.00
45,Hong Kong,19207578,7482500,256.7,2018/09,19.21
46,Ethiopia,18000000,85000020,21.8,2013/12,18.00
47,Guatemala,17571895,14713763,119.4,2013/06,17.57
48,United Arab Emirates,17132724,8410763,203.7,2014/11,17.13
49,Ecuador,15900000,14300000,111.18,2013/01,15.90
50,Sweden,14500000,9906331,146.4,2016/06,14.50
51,Zimbabwe,13518887,13060000,103.5,2014/01,13.52
52,Portugal,13400000,10562178,126.87,2013/11,13.40
53,Belgium,11822000,10414000,113.6,2013,11.82
54,Hungary,11561890,9908798,116.7,2013/11,11.56
55,Bulgaria,10454400,7200000,145.2,2013,10.45
56,Israel,9701200,7900000,122.8,2013,9.70
57,Finland,9470000,5487308,172.6,2015,9.47
58,Costa Rica,8300000,4872000,156,2017/06,8.30
59,Singapore,8106700,5399000,150.1,2015/01,8.11
60,Azerbaijan,7000000,5543819,126.2,2008/02,7.00
61,Denmark,7000000,5700000,127.5,2013,7.00
62,Panama,6900000,3405813,202.5,2013/07,6.90
63,Jordan,6010000,5950000,101,2010/03,6.01
64,Ireland,5770638,4581269,125.9,2015,5.77
65,Lithuania,4940000,2955986,167.1,2013 Q2,4.94
66,New Zealand,4761000,4500000,111.1,2013,4.76
67,Mongolia,3500000,2980000,117.4,2013,3.50
68,Lebanon,2720000,4224000,64.4,2010/10,2.72
69,Latvia,2579000,1986705,129.8,2015/07,2.58
70,North Korea,3000000,24451285,12.3,2015,3.00
71,Trinidad and Tobago,2060000,1363985,151.6,2019 Q2,2.06
72,Estonia,1904000,1269420,150.5,2015/07,1.90
73,Cuba,1300000,11200000,11.6,2011/12,1.30
74,Montenegro,1117500,620029,180.23,2015/09,1.12
75,Malta,554651,452515,122.57,2013/06,0.55
76,Maldives,776716,417492,245.92,2017/07,0.78