Period,Males,Females
1980-1982,70.81,76.81
1981-1983,71.06,77.02
1982-1984,71.34,77.25
1983-1985,71.54,77.39
1984-1986,71.73,77.55
1985-1987,71.91,77.68
1986-1988,72.15,77.92
1987-1989,72.41,78.05
1988-1990,72.61,78.23
1989-1991,72.86,78.41
1990-1992,73.16,78.7
1991-1993,73.36,78.78
1992-1994,73.67,79.02
1993-1995,73.83,79.11
1994-1996,74.08,79.31
1995-1997,74.24,79.38
1996-1998,74.49,79.55
1997-1999,74.73,79.7
1998-2000,75.01,79.91
1999-2001,75.32,80.12
2000-2002,75.61,80.36
2001-2003,75.85,80.47
2002-2004,76.15,80.68
2003-2005,76.5,80.91
2004-2006,76.87,81.24
2005-2007,77.14,81.44
2006-2008,77.38,81.61
2007-2009,77.68,81.84
2008-2010,78.01,82.08
2009-2011,78.4,82.42
2010-2012,78.7,82.57
2011-2013,78.91,82.71
2012-2014,79.06,82.8
2013-2015,79.09,82.82
2014-2016,79.17,82.86
2015-2017,79.18,82.85
2016-2018,79.24,82.92
2017-2019,79.37,83.06
2018-2020,79.04,82.86